user_id,isbn,rating,title,author,year,publisher
277157,0316154059,5,City of Bones,Michael Connelly,2002,Warner Books
277157,0345452550,7,A Cold Heart: An Alex Delaware Novel,JONATHAN KELLERMAN,2003,Ballantine Books
277157,0399148639,6,Mortal Prey,John Sandford,2002,Putnam Publishing Group
277157,0671024094,7,The Coffin Dancer (Lincoln Rhyme Novels (Paperback)),Jeffery Deaver,1999,Pocket Books
277157,0679450408,6,Silent Witness,Richard North Patterson,1997,Random House Inc
277157,0743486226,7,Angels & Demons,Dan Brown,2003,Atria
277203,039480001X,9,The Cat in the Hat,Dr. Seuss,1957,Random House Books for Young Readers
277427,002542730X,10,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley & Sons Inc
277427,0061009059,9,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995,HarperTorch
277427,0316776963,8,Me Talk Pretty One Day,David Sedaris,2001,Back Bay Books
277427,0345413903,10,The Murder Book,Jonathan Kellerman,2003,Ballantine Books
277427,0380702843,8,The Return of the Indian (Indian in the Cupboard),Lynne Reid Banks,1999,HarperTrophy
277427,0385424736,9,The Rainmaker,John Grisham,1995,Doubleday Books
277427,0385486804,9,Into the Wild,Jon Krakauer,1997,Anchor
277427,0385503857,9,Oryx and Crake,Margaret Atwood,2003,Nan A. Talese
277427,0385504209,8,The Da Vinci Code,Dan Brown,2003,Doubleday
277427,039304016X,8,The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,1997,Little Brown and Company
277427,0399501487,9,Lord of the Flies,William Gerald Golding,1959,Perigee Trade
277427,0425116840,8,The Cardinal of the Kremlin (Jack Ryan Novels),Tom Clancy,1989,Berkley Publishing Group
277427,0425133516,9,The Hunt for Red October (Jack Ryan Novels),Tom Clancy,1997,Berkley Publishing Group
277427,0440224764,7,The Partner,John Grisham,1998,Dell Publishing Company
277427,0440236061,8,Unfit to Practice,Perri O'Shaughnessy,2003,Dell Publishing Company
277427,0440236738,9,Gone for Good,HARLAN COBEN,2003,Dell
277427,0441627404,10,The Once and Future King,T. H. White,1987,Ace Books
277427,0446350982,9,Presumed Innocent,Scott Turow,1988,Warner Books
277427,0446608890,10,Saving Faith,David Baldacci,2000,Warner Vision
277427,0451191153,8,The Fountainhead,Ayn Rand,1996,New American Library
277427,0451203593,10,24 Hours,Greg Iles,2001,Signet Book
277427,0452284449,6,The Virgin Blue,Tracy Chevalier,2003,Plume Books
277427,0553280368,9,C Is for Corpse (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1987,Bantam
277427,0553571656,10,The Beekeeper's Apprentice,LAURIE R. KING,1996,Bantam
277427,0671528904,8,Mindhunter : Inside the FBI's Elite Serial Crime Unit,John E. Douglas,1996,Pocket
277427,0679731148,9,A Year in Provence,Peter Mayle,1991,Vintage Books USA
277427,0679736042,5,Toujours Provence (Vintage Departures),Peter Mayle,1992,Vintage Books USA
277427,0740723367,9,The Meaning Of Life,Bradley Trevor Greive,2002,Andrews McMeel Publishing
277427,0743406176,8,If Only It Were True,Marc Levy,2000,Atria
277427,0743412028,9,Pay It Forward,Catherine Ryan Hyde,2000,Pocket
277427,0743457943,8,Trading Places,Fern Michaels,2003,Pocket Star
277427,0767903382,10,Tender at the Bone: Growing Up at the Table,Ruth Reichl,1999,Broadway Books
277427,0786866845,10,Ice Bound: A Doctor's Incredible Battle for Survival at the South Pole,Dr. Jerri Nielsen,2001,Miramax
277427,0811802981,10,The Golden Mean: In Which the Extraordinary Correspondence of Griffin & Sabine Concludes,Nick Bantock,1993,Chronicle Books
277427,0811811409,10,"The Venetian's Wife: A Strangely Sensual Tale of a Renaissance Explorer, a Computer, and a Metamorphosis",Nick Bantock,1996,Chronicle Books
277427,0836217691,10,Homicidal Psycho Jungle Cat: A Calvin and Hobbes Collection,Bill Watterson,1994,Andrews McMeel Publishing
277427,0836218515,10,Prehistory of the Far Side,Gary Larson,1989,Andrews McMeel Publishing
277427,0836221192,10,Dilbert Fugitive From The Cubicle Police,Scott Adams,1996,Andrews McMeel Publishing
277478,1558745718,8,Chicken Soup for the Pet Lover's Soul (Chicken Soup for the Soul),Jack Canfield,1998,Health Communications
277523,0316603570,10,3rd Degree,James Patterson,2004,"Little, Brown"
277523,0316693200,10,2nd Chance,James Patterson,2002,"Little, Brown"
277523,0385508042,10,The King of Torts,John Grisham,2003,Doubleday Books
277523,0385510438,10,The Last Juror,John Grisham,2004,Doubleday
277523,0440241537,10,The King of Torts,JOHN GRISHAM,2003,Dell
277523,0446530891,10,Split Second,David Baldacci,2003,Warner Books
277523,0446613843,10,The Jester,James Patterson,2004,Warner Books
277523,0515133302,10,Hemlock Bay,Catherine Coulter,2002,Jove Books
277523,0671886665,10,A Cry In The Night,Mary Higgins Clark,1993,Pocket
277523,0684835983,10,Before I Say Good-Bye : A Novel,Mary Higgins Clark,2000,Simon & Schuster
277523,0743206045,10,Daddy's Little Girl,Mary Higgins Clark,2002,Simon & Schuster
277523,1558744150,10,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996,Health Communications
277639,034539657X,8,Dark Rivers of the Heart,Dean R. Koontz,1995,Ballantine Books
277639,0380731851,6,Mystic River,Dennis Lehane,2002,HarperTorch
277639,0425142485,7,The Funhouse,Dean R. Koontz,1994,Berkley Publishing Group
277639,0425147363,8,Tom Clancy's Op-Center (Tom Clancy's Op Center (Paperback)),Tom Clancy,1995,Berkley Publishing Group
277639,042516098X,5,Hornet's Nest,Patricia Daniels Cornwell,1998,Berkley Publishing Group
277639,0440211727,8,A Time to Kill,JOHN GRISHAM,1992,Dell
277639,0440214041,9,The Pelican Brief,John Grisham,1993,Dell
277639,0553579754,7,Fear Nothing,DEAN KOONTZ,1998,Bantam
277639,0812543262,8,Relic,Douglas Preston,2003,Tor Books
277965,0316789089,5,The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover)),Anita Shreve,1999,"Little, Brown"
277965,0385484518,10,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,1997,Doubleday
277965,0399141464,8,Cause of Death,Patricia Daniels Cornwell,1996,Putnam Pub Group
277965,0399145087,7,Black Notice,Patricia Daniels Cornwell,1999,Putnam Pub Group
277965,0679457526,9,Into Thin Air : A Personal Account of the Mount Everest Disaster,JON KRAKAUER,1997,Villard
277965,0684874350,10,ANGELA'S ASHES,Frank McCourt,1996,Scribner
277965,0786866845,9,Ice Bound: A Doctor's Incredible Battle for Survival at the South Pole,Dr. Jerri Nielsen,2001,Miramax
277965,0786881852,7,Don't Sweat the Small Stuff and It's All Small Stuff : Simple Ways to Keep the Little Things from Taking Over Your Life (Don't Sweat the Small Stuff Series),Richard Carlson,1997,Hyperion
278026,0061009059,8,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995,HarperTorch
278026,0061031410,8,Courting Trouble,Lisa Scottoline,2003,HarperTorch
278026,0061094129,8,Legal Tender,Lisa Scottoline,1997,HarperTorch
278026,0380731851,5,Mystic River,Dennis Lehane,2002,HarperTorch
278026,0380820889,8,Blindsighted,Karin Slaughter,2002,HarperTorch
278026,038533558X,9,Gone For Good,HARLAN COBEN,2002,Delacorte Press
278026,0446527041,8,The Crush,Sandra Brown,2002,Warner Books
278026,0449006522,8,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books
278026,0449219364,6,G Is for Gumshoe (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1991,Fawcett Books
278026,0449221512,5,I Is for Innocent,Sue Grafton,1994,Fawcett Books
278026,0451206525,8,Dead Sleep,Greg Iles,2002,Signet Book
278026,0515130389,8,Carolina Moon,Nora Roberts,2001,Jove Books
278026,0553582364,6,A Traitor to Memory,Elizabeth George,2002,Bantam Books
